source_type,model,week,cumulative_activation,source
PC NB,H7407BA,W2601,0,seed
PC NB,H7407BA,W2602,0,seed
PC NB,H7407BA,W2603,0,seed
PC NB,H7407BA,W2604,0,seed
PC NB,H7407BA,W2605,0,seed
PC NB,H7407BA,W2606,0,seed
PC NB,H7407BA,W2607,0,seed
PC NB,H7407BA,W2608,0,seed
PC NB,H7407BA,W2609,0,seed
PC NB,H7407BA,W2610,0,seed
PC NB,H7407BA,W2611,0,seed
PC NB,H7407BA,W2612,0,seed
PC NB,H7407BA,W2613,0,seed
PC NB,H7407BA,W2614,0,seed
PC NB,H7407BA,W2615,0,seed
PC NB,H7407BA,W2616,0,seed
PC NB,H7407BA,W2617,0,seed
PC NB,H7407BA,W2618,0,seed
PC NB,H7407BA,W2619,0,seed
PC NB,H7407BA,W2620,0,seed
PC NB,H7407BA,W2621,0,seed
PC NB,H7407BA,W2622,0,seed
PC NB,H7407BA,W2623,0,seed
PC NB,H7407BA,W2624,0,seed
PC NB,H7407BA,W2625,0,seed
PC NB,H7407BA,W2626,0,seed
PC NB,H7407IA,W2601,0,seed
PC NB,H7407IA,W2602,0,seed
PC NB,H7407IA,W2603,0,seed
PC NB,H7407IA,W2604,0,seed
PC NB,H7407IA,W2605,0,seed
PC NB,H7407IA,W2606,0,seed
PC NB,H7407IA,W2607,0,seed
PC NB,H7407IA,W2608,0,seed
PC NB,H7407IA,W2609,0,seed
PC NB,H7407IA,W2610,0,seed
PC NB,H7407IA,W2611,0,seed
PC NB,H7407IA,W2612,0,seed
PC NB,H7407IA,W2613,0,seed
PC NB,H7407IA,W2614,0,seed
PC NB,H7407IA,W2615,0,seed
PC NB,H7407IA,W2616,0,seed
PC NB,H7407IA,W2617,0,seed
PC NB,H7407IA,W2618,0,seed
PC NB,H7407IA,W2619,0,seed
PC NB,H7407IA,W2620,0,seed
PC NB,H7407IA,W2621,0,seed
PC NB,H7407IA,W2622,0,seed
PC NB,H7407IA,W2623,0,seed
PC NB,H7407IA,W2624,0,seed
PC NB,H7407IA,W2625,0,seed
PC NB,H7407IA,W2626,0,seed
PC NB,H7607BA,W2601,0,seed
PC NB,H7607BA,W2602,0,seed
PC NB,H7607BA,W2603,0,seed
PC NB,H7607BA,W2604,0,seed
PC NB,H7607BA,W2605,0,seed
PC NB,H7607BA,W2606,0,seed
PC NB,H7607BA,W2607,0,seed
PC NB,H7607BA,W2608,0,seed
PC NB,H7607BA,W2609,0,seed
PC NB,H7607BA,W2610,0,seed
PC NB,H7607BA,W2611,0,seed
PC NB,H7607BA,W2612,0,seed
PC NB,H7607BA,W2613,0,seed
PC NB,H7607BA,W2614,0,seed
PC NB,H7607BA,W2615,0,seed
PC NB,H7607BA,W2616,0,seed
PC NB,H7607BA,W2617,0,seed
PC NB,H7607BA,W2618,0,seed
PC NB,H7607BA,W2619,0,seed
PC NB,H7607BA,W2620,0,seed
PC NB,H7607BA,W2621,0,seed
PC NB,H7607BA,W2622,0,seed
PC NB,H7607BA,W2623,0,seed
PC NB,H7607BA,W2624,0,seed
PC NB,H7607BA,W2625,0,seed
PC NB,H7607BA,W2626,0,seed
PC NB,H7607IA,W2601,0,seed
PC NB,H7607IA,W2602,0,seed
PC NB,H7607IA,W2603,0,seed
PC NB,H7607IA,W2604,0,seed
PC NB,H7607IA,W2605,0,seed
PC NB,H7607IA,W2606,0,seed
PC NB,H7607IA,W2607,0,seed
PC NB,H7607IA,W2608,0,seed
PC NB,H7607IA,W2609,0,seed
PC NB,H7607IA,W2610,0,seed
PC NB,H7607IA,W2611,0,seed
PC NB,H7607IA,W2612,0,seed
PC NB,H7607IA,W2613,0,seed
PC NB,H7607IA,W2614,0,seed
PC NB,H7607IA,W2615,0,seed
PC NB,H7607IA,W2616,0,seed
PC NB,H7607IA,W2617,0,seed
PC NB,H7607IA,W2618,0,seed
PC NB,H7607IA,W2619,0,seed
PC NB,H7607IA,W2620,0,seed
PC NB,H7607IA,W2621,0,seed
PC NB,H7607IA,W2622,0,seed
PC NB,H7607IA,W2623,0,seed
PC NB,H7607IA,W2624,0,seed
PC NB,H7607IA,W2625,0,seed
PC NB,H7607IA,W2626,0,seed
PC NB,HN7306EA,W2601,0,seed
